description_id,certification_google_data_analytics,other_au,other_azure,other_b,other_business,other_computer_science,other_data_science,other_i,other_ibm_data_science_certificate,other_informatics,other_marketing,other_power,other_strong,other_table,skill_excel,skill_power_bi,skill_python,skill_r,skill_sql,skill_statistics,skill_tableau,salary,title,description,salary_numeric
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,"$90,000 - $110,000",Data Analyst,Bachelor's degree in Statistics or Mathematics required. Strong skills in SQL and Python. Experience with Tableau preferred.,100000.0
1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,"$110,000 - $130,000",Senior Data Analyst,Master's in Data Science or similar field. Must have experience with Power BI and Azure. Python and R are essential.,120000.0
2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,"$75,000 - $95,000",Business Data Analyst,Bachelor's degree in Business or related field. Proficiency in Excel and Tableau. Knowledge of Python is a plus.,85000.0
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"$85,000 - $100,000",Data Analyst,Google Data Analytics certification preferred. Strong Excel and SQL required. Bachelor's degree desired.,92500.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"$65,000 - $80,000",Junior Data Analyst,"Bachelor’s degree or certification in analytics. Experience with Python, Excel, and Power BI.",72500.0
5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,"$95,000 - $115,000",Data Analyst,"IBM Data Science Certificate, Bachelor's in Computer Science, strong skills in SQL, Python, and statistics.",105000.0
6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"$70,000 - $90,000",Marketing Data Analyst,Bachelor's degree in Marketing or Statistics. Familiarity with data visualization tools like Tableau and Power BI.,80000.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,"$105,000 - $125,000",Healthcare Data Analyst,"Master's degree in Health Informatics. Required skills: Python, SQL, Excel. Preferred: R, Tableau.",115000.0
3,1.7283818257146426,-0.45641805337190233,0.9639986016545005,1.711086852596575,1.3539646797925373,-0.6208417207591803,-0.9131750090029339,0.7298431432240201,1.1328483745118234,0.8714479606586611,2.6930000722212024,-1.5830827433323813,-0.754622408689994,0.8598347626434333,0.45563785441784266,-0.9218958872930451,0.30772838725344165,-0.3335903995915914,0.9632397980942184,-0.4914712233348954,-0.024650887056166824,"$85,000 - $100,000",Data Analyst,Google Data Analytics certification preferred. Strong Excel and SQL required. Bachelor's degree desired.,92500.76452515695
2,1.5708196062473403,0.6060774566304129,0.13838304329634243,0.3343721758104467,2.51259718714702,-0.45874576688125657,-1.0048102416641873,1.2632512881789213,0.5813294931326012,-1.1089043204871183,-0.08651985391981434,0.5446535862450493,-1.885692975703212,-0.995956547978604,1.3458945943517155,0.8747051752005264,2.686086443035279,-0.7396515457625659,0.20181543871054636,-0.785833894800748,1.067983768188783,"$75,000 - $95,000",Business Data Analyst,Bachelor's degree in Business or related field. Proficiency in Excel and Tableau. Knowledge of Python is a plus.,85000.66595605762
6,-1.2466535869150868,0.09761713413701371,0.4221070792715912,1.4696433298743274,1.60624582465196,-0.7009320315286411,-1.2174780550470665,0.1605730522469263,-0.02328893017059057,1.1338197317671341,1.389288868031761,1.4911087916116235,0.06170044463826811,-1.0750534273068006,-0.8167659822807728,-0.16519532300961912,2.260571289806302,0.3366310502224621,-0.9599259402787869,-0.13589995086124082,0.8889939655921483,"$70,000 - $90,000",Marketing Data Analyst,Bachelor's degree in Marketing or Statistics. Familiarity with data visualization tools like Tableau and Power BI.,79998.43163684456
7,-1.5305438166055627,0.48688328193597025,0.8476633782246996,1.0761553222648885,-0.6766873605200932,0.3063591675426261,-0.026454600470971968,-0.1997290030671481,1.9482653024347205,1.0754094194269443,-0.4558259655118045,0.2642984251583143,1.1693781049385061,0.5942761171152466,1.8529164674019474,1.206518052644158,0.2555788306512701,0.9784467177542037,0.7162536559806016,0.8767800611045956,-0.7431421474721545,"$105,000 - $125,000",Healthcare Data Analyst,"Master's degree in Health Informatics. Required skills: Python, SQL, Excel. Preferred: R, Tableau.",115000.33822340916
0,-0.6744192325857534,1.7776122601518876,-0.18394776653552508,-0.06710870048088463,0.9097893701221865,-0.01662341299109646,-0.09135148475558692,-1.7585988604072136,-1.836029093962457,-1.8602762595639482,-1.1661028856041808,0.00027022837827248724,-0.34389334659137344,1.7819786596021183,1.09577764507704,0.5032160482354157,0.9315326878963767,0.7007820676545197,0.20752682483334772,1.2264405145369333,-0.8196826764101303,"$90,000 - $110,000",Data Analyst,Bachelor's degree in Statistics or Mathematics required. Strong skills in SQL and Python. Experience with Tableau preferred.,100001.09960404508
